from_address,reference-implementation
0x2ed3dd75398d7c555b16ed6f2c891e6116e4bea9,ERC-897
0x4c6fe2b7f0d82416520ac10696cc16b3f0e48e81,ERC-1967
0xa8f8c93941a8010030d16739670cc5f9446c0e7c,Customized
0x6dcc7f531b41ac00825fb99b7635672d3b326fe6,ERC-1967
0xeed4e5c34e9430eb34f5cfbe79643b5fb4f90404,ERC-897
0xebed7ebe7f9e4950c04057bc500a1b776bb9fdbb,ERC-1167
0xfc2a666d5b60da4064fc9e5f41e23682ef760c4f,ERC-1167
0x5934e506bb3de67b9a452dcbccd4cfb0f134682c,ERC-897
0x0e033c695bac012da92ad8c6af7d083361c429e5,ERC-897
0x54190930e5e13f099b67f5e554575fedac24d123,ERC-1167
0xed7e37394bf120e5b174bc431b096d214d09ff27,ERC-1967
0x635c30a755c122c659a6d39f8a799547ed31725d,Customized
0x1ea3a9d087442bebe9262e7f37ebddb9abb6f764,ERC-1167
0x38054f936fa8f7cad6212ee9e61adad924896589,ERC-1967
0xa9d0e0cecdf1645ee8eaa5f78a8214bf39b709c5,ERC-1167
0x0a231c0e10134d8f714751c0f516cbe78bcbf013,Customized
0x80931f3ad61bc2a46065d8359e2e004ac0cd9f04,ERC-1167
0x7bf125527a185d2c0990cb8254dabe0b866df15a,ERC-1167
0x12ffe140157b8ee9654fb0c6b9780a3f394e563f,Customized
0xb319ddfadac89a05e3013f8c2194a2fb5d0c5012,ERC-1967
0xc43db2acbd9e7812661d99600b5d4d503366ddd0,ERC-1167
0x4f6a16ee73aa3bbcf6fbd2cebab589a27941d174,ERC-897
0x4b69feeff68884ac1cf2a3c43a907e1625dfa7d7,ERC-1967
0x34b3bbce4e11e575ce32c91f628cc4a26fdf7907,Customized
0x9eb4f1bb44b7a6c7f51cd329ac318c5d698dd5c1,ERC-897
0x60d3a73334e403b34fa50d44530fc7fac6afed80,ERC-897
0x99ce277a69e399cf0b6a48496b0fab11ad321522,ERC-897
0x593c73206180492eb955391ea6d6ac5da5b16a7b,Customized
0xd0f116ed682f24a2c17f8358ab30f8e9390ce790,ERC-1167
0x704a32f5ae95b3c13410ebb68a99f722d2751a89,ERC-1967
0xd39a7790c543995eeec67912c6ae00e15f20ebb2,ERC-1167
0xc3944dbac18b7c66de40d0665f49d993e3050e8f,ERC-1167
0x4fc16de11deac71e8b2db539d82d93be4b486892,Customized
0xa906fe0ec3e85960ec364d9602f9ede458471384,ERC-1167
0x19242735ca0fbcf882a1ce13d279fff89ac264f2,ERC-897
0xaa94575e6ee941f10b9e9ff868049a16dacfb689,Customized
0xf749d8027e26c947f8a8f8536eef56c12dedfe46,Customized
0xef6761819a8e6d16b785849c32547b013251ea27,OpenZeppelin
0x36d6651d7a43fc0416ab6232f08fd9f194e943d5,ERC-897
0x3e5796cfc84be639267be3b789dcfe9564a71403,ERC-897
0x6a3ae0a2400c44d4d3114c3c1f44845cadc0f2cd,ERC-1167
0x6016f7aca4cf65c74d9c5ba313bb74ad6a43d96a,ERC-1967
0x6a5fc177ea6208c57f8cfbaca009b6d97c868256,ERC-1167
0x1ce46c23b91904056e76c8a0c0321eeafae43b5d,ERC-1167
0x675d4f4c94672850d1167fe962b5e8a0ee3bd53e,ERC-1967
0x5362692010591546846707a41e1bd897740744aa,ERC-1967
0x367be0ddac34a579dd608505650cf63f608476b5,ERC-1967
0x46dcde86b25a3f3b61eadd6b7225f4e2721c0e23,ERC-1967
0x89a0153153d5ceeb886f6bd39bb4071b2277923b,Customized
0x3a46ae865bb515c9be053a50bdfe81f2794b0d9e,ERC-1167
0xb00fabf1525463a71988c5ecdda97c306c762d67,ERC-897
0xfe50b0c135ae1be5d8fea07dc5633441556bcedd,ERC-1967
0x1f735530091f8d4a2ac27ddff329521602228b84,ERC-1967
0x7329ae367a229cdad0cc61198c3d94cba5a63cff,ERC-897
0xe8c2a35d5bd61d748f3a62e5ab8b9d536554073d,Customized
0xb6ad5818bfa39b9734b6f8f14bdca416db8c786e,Customized
0xdfd605b53e7cd053d22b80607165933c5735dca7,ERC-1167
0xa3fda2d53ab9b3c219bbe9f7cc3f1bb5b2cea8a3,ERC-1167
0xb3bbf79292ad5f469253359b640045c302bdbd78,Customized
0x7f68c3906101b947fa918cc36915a622c48ff405,Customized
0x6a81bf76ced3a55a500550b1f2cf42c68c513f74,Customized
0x6d77fb2bb8d7d9fc66c5e5ab758df382823a9862,ERC-1967
0xcd537d88f2f2534597c18f9924332fbbebc435bb,ERC-897
0xa01f7d8f37e6658e2b74a6a2c3daab9c042aef95,ERC-897
0xfa4ca89768dbc975159e81ece13173a0dc274567,ERC-1167
0x8cf8cf4d889febca2bd6c07c8f45a8b4e1fa85e8,ERC-897
0x3e55e3cd8ddcb17e0603d25a2e89c696cae94df1,ERC-1167
0x76e8ee2f47c57ae4775f91e49b3c5c68b3c4d990,Customized
0xa97cbe83137f21c41888d4da35c08bdb92ea73a8,ERC-1167
0x22c4893734b706c6e06e88c49b48d23d0766c2e0,Customized
0xa5331816a70bb46efe964d4f265441e255434f3a,ERC-897
0x7fff0326e0de62676f1bf60af435cbe1c7cb1d96,ERC-1967
0xa33ed9446bc77fdafd4afef9020f5fc4ce9b1301,Customized
0x2bae4b58ea981b2e00f9feda82c2992c22b75d2c,Customized
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,ERC-1967
0x67fc8f6f3202a4b7e7f6aa3ff987953c27fe772c,ERC-1167
0x800357f801d7ac88950a6017d502c6f45949398a,ERC-1967
0xf2e404571f25775d250a411481c7b7b4304233d0,Customized
0xc98e3c97fda9313f6023c7c911e7d5f55719687e,ERC-1167
0x930079751d0f4be5ccc18730ebc5e6382c0114ca,ERC-1167
0x24aa236de33f2053f710fd6e244c21b89ac437c0,ERC-1967
0x954dce38bd93b527f9661ed4ff0f285e3508d0c7,ERC-1967
0xd765c7ff8f304e048bf201f0c64c001ba8f05b85,ERC-1167
0x2d60008d8bf32c8b74344ba8602a93653b22711e,Customized
0x7e1c0e6d777cb12605908d57538eea38c3fbf35a,ERC-1167
0x4e3f1ad7ca1b30abcdc23c21f65fcf7625ab6431,ERC-1967
0xbc024c7964bfc1c50ef2c0ce7ea71331f158a43c,Customized
0xce2468c8a666e331634d37413546473a6321265b,ERC-897
0x5cb9ab28652f6946b8f94045f138ac84c70cc000,ERC-1167
0xd8a6e41f2eb8800c846512af827f71d21e001843,ERC-897
0xbac32ee5579acda55c6a2082c5f0bc7106edd9dc,ERC-1167
0xc2de36fc8d16a3bfca50eab550f9cd43430d2092,ERC-897
0x9142a4be0e76a2cd0f571e0cb2bd57479d33082f,Customized
0x6839a40a81322e14f4876e86b3cc24e0675495a7,ERC-1967
0xaeef7905403278a4a2a889f5b6f4a253b010b40b,ERC-897
0x98f9772b62fe3061378c1a2a793a6871319ef98a,ERC-897
0xcf1d44337bc7cc30e0537a7307ecf375ef633d2e,ERC-1967
0x0eb4202a204ef0828c8e6f2f6db34f2b6848d7c4,ERC-897
0xca9b0dbfe212301d63d18b071ac966889fd818f1,Customized
0x82a72ff12e9768a254b24fc5532b43c36c56e4e9,Customized
0xd228ba4c1dc82921875147daa95987573fa648ac,ERC-897
0xb84e1c2f048c4db1387f0c89a2b79dc02a0c38bf,ERC-1167
0x6c09a8fe4932113c487f374833944ceecc1f42d4,ERC-1967
